beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
Get Together,American IPA,16.0,0.045,50,481,NorthGate Brewing,Minneapolis,MN
Maggie's Leap,Milk / Sweet Stout,16.0,0.049,26,0,NorthGate Brewing,Minneapolis,MN
Wall's End,English Brown Ale,16.0,0.048,19,234,NorthGate Brewing,Minneapolis,MN
Pumpion,Pumpkin Ale,16.0,0.06,38,0,NorthGate Brewing,Minneapolis,MN
Stronghold,American Porter,16.0,0.06,25,0,NorthGate Brewing,Minneapolis,MN
Parapet ESB,Extra Special / Strong Bitter (ESB),16.0,0.056,47,0,NorthGate Brewing,Minneapolis,MN
Citra Ass Down,American Double / Imperial IPA,16.0,0.08,68,1,Against the Grain Brewery,Louisville,KY
London Balling,English Barleywine,16.0,0.125,80,166,Against the Grain Brewery,Louisville,KY
35 K,Milk / Sweet Stout,16.0,0.077,25,1,Against the Grain Brewery,Louisville,KY
A Beer,American Pale Ale (APA),16.0,0.042,42,1,Against the Grain Brewery,Louisville,KY
Rules are Rules,German Pilsener,16.0,0.05,25,1,Against the Grain Brewery,Louisville,KY
Flesh Gourd'n,Pumpkin Ale,16.0,0.066,21,1,Against the Grain Brewery,Louisville,KY
Sho'nuff,Belgian Pale Ale,16.0,0.04,13,1,Against the Grain Brewery,Louisville,KY
Bloody Show,American Pilsner,16.0,0.055,17,1,Against the Grain Brewery,Louisville,KY
Rico Sauvin,American Double / Imperial IPA,16.0,0.076,68,222,Against the Grain Brewery,Louisville,KY
Coq de la Marche,Saison / Farmhouse Ale,16.0,0.051,38,1,Against the Grain Brewery,Louisville,KY
Pile of Face,American IPA,16.0,0.06,65,25,Against the Grain Brewery,Louisville,KY
The Brown Note,English Brown Ale,16.0,0.05,20,1,Against the Grain Brewery,Louisville,KY
House Lager,Keller Bier / Zwickel Bier,16.0,0.052,18,97,Jack's Abby Craft Lagers,Framingham,MA
Leisure Time,American Pale Lager,12.0,0.048,15,2,Jack's Abby Craft Lagers,Framingham,MA
Excess IPL,American India Pale Lager,16.0,0.072,80,2,Jack's Abby Craft Lagers,Framingham,MA
Hoponius Union,American India Pale Lager,12.0,0.067,65,2,Jack's Abby Craft Lagers,Framingham,MA
Calyptra,American India Pale Lager,12.0,0.049,45,2,Jack's Abby Craft Lagers,Framingham,MA
Habitus (2014),American Double / Imperial IPA,16.0,0.08,100,3,Mike Hess Brewing Company,San Diego,CA
Solis,American IPA,16.0,0.075,85,3,Mike Hess Brewing Company,San Diego,CA
Jucundus,Wheat Ale,16.0,0.06,24,3,Mike Hess Brewing Company,San Diego,CA
Habitus,American Double / Imperial IPA,16.0,0.08,100,3,Mike Hess Brewing Company,San Diego,CA
Grazias,Cream Ale,16.0,0.063,30,127,Mike Hess Brewing Company,San Diego,CA
Park,American Pale Wheat Ale,12.0,0.047,19,4,Fort Point Beer Company,San Francisco,CA
Westfalia,American Amber / Red Ale,12.0,0.056,16,4,Fort Point Beer Company,San Francisco,CA
Villager,American IPA,12.0,0.063,42,0,Fort Point Beer Company,San Francisco,CA
Yeti  Imperial Stout,Russian Imperial Stout,12.0,0.095,75,6,Great Divide Brewing Company,Denver,CO
Peck's Porter,American Porter,16.0,0.065,35,7,Tapistry Brewing,Bridgman,MI
Dark Star,American Stout,16.0,0.08,54,8,Big Lake Brewing,Holland,MI
Sparkle,American Pale Lager,16.0,0.041,12,11,Petoskey Brewing,Petoskey,MI
North 45 Amber Ale,American Amber / Red Ale,16.0,0.059,25,11,Petoskey Brewing,Petoskey,MI
Horny Monk,Dubbel,16.0,0.069,20,11,Petoskey Brewing,Petoskey,MI
Mind's Eye PA,American IPA,16.0,0.067,74,234,Petoskey Brewing,Petoskey,MI
Nordskye,American IPA,12.0,0.048,47,12,Blackrocks Brewery,Marquette,MI
North Third Stout,Foreign / Export Stout,12.0,0.06,30,203,Blackrocks Brewery,Marquette,MI
51K IPA,American IPA,12.0,0.07,51,12,Blackrocks Brewery,Marquette,MI
Hotbox Brown,American Brown Ale,12.0,0.055,10,13,Perrin Brewing Company,Comstock Park,MI
Gold,American Blonde Ale,12.0,0.048,15,503,Perrin Brewing Company,Comstock Park,MI
98 Problems (Cuz A Hop Ain't One),American IPA,12.0,0.065,65,13,Perrin Brewing Company,Comstock Park,MI
Grapefruit IPA,American IPA,12.0,0.05,35,13,Perrin Brewing Company,Comstock Park,MI
Train Hopper,American IPA,12.0,0.058,72,14,Witch's Hat Brewing Company,South Lyon,MI
Dirty Bastard,Scotch Ale / Wee Heavy,12.0,0.085,50,15,Founders Brewing Company,Grand Rapids,MI
Centennial IPA,American IPA,12.0,0.072,65,223,Founders Brewing Company,Grand Rapids,MI
All Day IPA,American IPA,12.0,0.047,42,15,Founders Brewing Company,Grand Rapids,MI
Hinchtown Hammer Down,American Blonde Ale,16.0,0.05,27,16,Flat 12 Bierwerks,Indianapolis,IN
Half Cycle IPA,American IPA,16.0,0.06,104,294,Flat 12 Bierwerks,Indianapolis,IN
Cafe Leche,American Porter,16.0,0.058,20,17,Tin Man Brewing Company,Evansville,IN
Damascene Apricot Sour,Fruit / Vegetable Beer,16.0,0.052,12,379,Tin Man Brewing Company,Evansville,IN
Csar,Russian Imperial Stout,16.0,0.12,90,83,Tin Man Brewing Company,Evansville,IN
