src,flight,sched_dep_time,act_dep_time,dept_gate,sched_arr_time,act_arr_time,arrival_gate
aa,CO-62-IAH-EWR,4:55 p.m.,5:08 p.m.,D5,8:05 p.m.,7:55 p.m.,4
helloflight,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,D5,8:05 p.m.,7:55 p.m.,4
boston,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,D5,8:05 p.m.,7:55 p.m.,4
airtravelcenter,UA-6273-YYC-SFO,4:55 p.m.,5:08 p.m.,D5,8:05 p.m.,7:55 p.m.,4
flightview,AA-2312-DFW-DTW,4:55 p.m.,5:08 p.m.,D5,8:05 p.m.,7:55 p.m.,4
flightstats,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,D5,8:05 p.m.,7:55 p.m.,4
panynj,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,D5,8:05 p.m.,7:55 p.m.,4
flightexplorer,CO-1561-PHX-IAH,4:55 p.m.,5:08 p.m.,D5,8:05 p.m.,7:55 p.m.,4
flights,AA-2525-DFW-MIA,4:55 p.m.,5:08 p.m.,D5,8:05 p.m.,7:55 p.m.,4
foxbusiness,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,D5,8:05 p.m.,7:55 p.m.,4
myrateplan,AA-2525-DFW-MIA,4:55 p.m.,5:08 p.m.,D5,8:05 p.m.,7:55 p.m.,4
orbitz,CO-52-IAH-LAX,4:55 p.m.,5:08 p.m.,D5,8:05 p.m.,7:55 p.m.,4
flytecomm,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,D5,8:05 p.m.,7:55 p.m.,4
mytripandmore,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,D5,8:05 p.m.,7:55 p.m.,4
wunderground,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,D5,8:05 p.m.,7:55 p.m.,4
flylouisville,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,D5,8:05 p.m.,7:55 p.m.,4
quicktrip,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,D5,8:05 p.m.,7:55 p.m.,4
allegiantair,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,D5,8:05 p.m.,7:55 p.m.,4
businesstravellogue,UA-3925-IAD-ORF,4:55 p.m.,5:08 p.m.,D5,8:05 p.m.,7:55 p.m.,4
gofox,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,D5,8:05 p.m.,7:55 p.m.,4
flightaware,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,D5,8:05 p.m.,7:55 p.m.,4
aa,AA-446-DFW-PHL,6:59 a.m.,7:22 a.m.,8,10:34 a.m.,10:04 a.m.,D21
helloflight,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,8,10:34 a.m.,10:04 a.m.,D21
boston,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,8,10:34 a.m.,10:04 a.m.,D21
weather,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,8,10:34 a.m.,10:04 a.m.,D21
airtravelcenter,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,8,10:34 a.m.,10:04 a.m.,D21
flightview,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,8,10:34 a.m.,10:04 a.m.,D21
flightstats,AA-466-IAH-MIA,6:59 a.m.,7:22 a.m.,8,10:34 a.m.,10:04 a.m.,D21
panynj,UA-3515-IAD-MSP,6:59 a.m.,7:22 a.m.,8,10:34 a.m.,10:04 a.m.,D21
flightexplorer,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,8,10:34 a.m.,10:04 a.m.,D21
mia,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,8,10:34 a.m.,10:04 a.m.,D21
flights,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,8,10:34 a.m.,10:04 a.m.,D21
travelocity,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,8,10:34 a.m.,10:04 a.m.,D21
foxbusiness,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,8,10:34 a.m.,10:04 a.m.,D21
myrateplan,UA-62-IAH-EWR,6:59 a.m.,7:22 a.m.,8,10:34 a.m.,10:04 a.m.,D21
orbitz,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,8,10:34 a.m.,10:04 a.m.,D21
flytecomm,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,8,10:34 a.m.,10:04 a.m.,D21
mytripandmore,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,8,10:34 a.m.,10:04 a.m.,D21
wunderground,CO-50-CLE-EWR,6:59 a.m.,7:22 a.m.,8,10:34 a.m.,10:04 a.m.,D21
flylouisville,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,8,10:34 a.m.,10:04 a.m.,D21
quicktrip,UA-2708-EWR-CLT,6:59 a.m.,7:22 a.m.,8,10:34 a.m.,10:04 a.m.,D21
allegiantair,CO-47-IAH-LAX,6:59 a.m.,7:22 a.m.,8,10:34 a.m.,10:04 a.m.,D21
businesstravellogue,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,8,10:34 a.m.,10:04 a.m.,D21
gofox,UA-257-JFK-SFO,6:59 a.m.,7:22 a.m.,8,10:34 a.m.,10:04 a.m.,D21
flightaware,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,8,10:34 a.m.,10:04 a.m.,D21
world-flight-tracker,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,8,10:34 a.m.,10:04 a.m.,D21
aa,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,15,9:45 p.m.,9:53 p.m.,H11B
helloflight,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,15,9:45 p.m.,9:53 p.m.,H11B
boston,CO-62-IAH-EWR,8:00 p.m.,8:23 p.m.,15,9:45 p.m.,9:53 p.m.,H11B
weather,UA-2708-EWR-CLT,8:00 p.m.,8:23 p.m.,15,9:45 p.m.,9:53 p.m.,H11B
airtravelcenter,AA-4344-ORD-DTW,8:00 p.m.,8:23 p.m.,15,9:45 p.m.,9:53 p.m.,H11B
flightview,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,15,9:45 p.m.,9:53 p.m.,H11B
flightstats,CO-63-EWR-IAH,8:00 p.m.,8:23 p.m.,15,9:45 p.m.,9:53 p.m.,H11B
panynj,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,15,9:45 p.m.,9:53 p.m.,H11B
